city,locality,bedrooms,bathrooms,sqft_living,sqft_lot,floors,year_built,year_renovated,property_type,parking,facing,lift,furnishing,nearby_schools,nearby_hospitals,society,balcony,garden,price
Delhi,Rohini,5,1,2133,4250,3,1989,2005,Independent House,3,East,No,Semi-Furnished,3,3,Rohini Enclave,3,Yes,21765000
Mumbai,Powai,3,3,2745,8401,1,2011,2012,Villa,2,East,No,Semi-Furnished,10,5,Powai Enclave,1,Yes,33265000
Pune,Hinjewadi,1,4,2918,8544,1,1953,2015,Villa,2,West,No,Semi-Furnished,0,4,Hinjewadi Residency,2,Yes,25073000
Pune,Baner,3,3,1692,4709,2,1962,2021,Apartment,2,South,No,Unfurnished,1,1,Baner Enclave,1,No,14677000
Chennai,Adyar,3,3,2708,6557,1,2010,2010,Builder Floor,3,South,Yes,Unfurnished,6,4,Adyar Enclave,3,Yes,22044000
Delhi,Rohini,2,3,3652,8366,2,1968,1987,Apartment,0,West,No,Unfurnished,2,2,Rohini Heights,0,No,36750000
Bengaluru,Koramangala,2,2,4310,5081,1,2005,2024,Independent House,3,West,No,Semi-Furnished,0,0,Koramangala Residency,2,Yes,39050000
Bengaluru,HSR Layout,2,1,333,4459,1,1994,2012,Apartment,0,West,No,Furnished,1,0,HSR Layout Enclave,2,No,3252000
Pune,Aundh,5,3,3852,9528,1,1993,2023,Villa,1,South,No,Furnished,3,1,Aundh Residency,1,Yes,33242000
Pune,Aundh,2,1,3303,9178,3,1954,2001,Villa,0,North,Yes,Unfurnished,0,0,Aundh Heights,3,No,28335500
Chennai,T Nagar,5,3,4186,9985,1,1976,2019,Builder Floor,2,West,Yes,Unfurnished,8,2,T Nagar Residency,3,Yes,33968000
Pune,Aundh,1,3,1233,3024,2,1975,2012,Apartment,2,South,No,Unfurnished,6,2,Aundh Residency,0,No,10660500
Delhi,Vasant Kunj,3,2,322,580,3,1961,1974,Independent House,1,North,Yes,Unfurnished,1,2,Vasant Kunj Residency,3,No,3560000
Bengaluru,MG Road,1,1,1731,2427,2,1996,2020,Villa,3,North,Yes,Furnished,0,1,MG Road Residency,2,No,15829000
Chennai,Perambur,3,1,3352,6209,1,1964,1988,Independent House,3,East,No,Unfurnished,7,3,Perambur Residency,0,Yes,27066000
Mumbai,Bandra,1,4,4254,8964,3,2006,2010,Independent House,2,North,Yes,Semi-Furnished,7,0,Bandra Villa,3,Yes,51398000
Mumbai,Juhu,3,1,4599,9372,3,2022,2022,Villa,0,West,Yes,Semi-Furnished,5,5,Juhu Villa,1,Yes,55518000
Mumbai,Bandra,5,4,4361,5765,1,2012,2016,Apartment,2,East,Yes,Unfurnished,3,4,Bandra Villa,3,Yes,52842000
Mumbai,Borivali,4,4,1021,9237,2,1990,1996,Independent House,0,North,No,Semi-Furnished,0,4,Borivali Heights,0,No,12612000
Pune,Aundh,2,4,3092,6118,1,1978,2006,Villa,3,East,No,Furnished,1,5,Aundh Residency,0,No,26597000
Bengaluru,Indiranagar,5,3,1170,1970,1,2013,2014,Independent House,0,East,Yes,Furnished,1,3,Indiranagar Residency,3,Yes,11085000
Bengaluru,Whitefield,4,1,1309,8740,2,2025,0,Independent House,0,North,No,Unfurnished,7,4,Whitefield Residency,1,Yes,12116000
Mumbai,Borivali,5,3,4429,7630,2,1981,1997,Independent House,2,East,No,Furnished,2,3,Borivali Enclave,2,Yes,53683000
Delhi,Rohini,5,3,3128,8686,1,1972,2003,Villa,0,East,No,Unfurnished,9,5,Rohini Villa,2,No,31670000
Mumbai,Powai,1,1,3420,4660,1,1957,1981,Villa,1,East,No,Furnished,0,5,Powai Enclave,1,Yes,41280000
Bengaluru,MG Road,1,2,4897,8132,1,2015,2025,Villa,0,West,No,Semi-Furnished,10,2,MG Road Heights,0,No,44203000
Delhi,Lajpat Nagar,4,2,3312,9547,3,2019,2021,Apartment,2,West,Yes,Unfurnished,1,1,Lajpat Nagar Residency,0,No,33465000
Mumbai,Borivali,3,3,1365,4051,3,1982,0,Villa,3,South,Yes,Furnished,5,4,Borivali Heights,2,No,16810000
Pune,Aundh,3,1,2903,7257,1,1973,2005,Builder Floor,1,West,No,Furnished,5,1,Aundh Residency,2,No,24980500
Bengaluru,Indiranagar,2,4,4898,5020,1,1994,2021,Apartment,1,North,No,Semi-Furnished,1,3,Indiranagar Enclave,2,Yes,44402000
Pune,Viman Nagar,5,4,4287,4696,2,1974,1993,Builder Floor,0,South,Yes,Unfurnished,1,1,Viman Nagar Residency,3,Yes,36969500
Delhi,Lajpat Nagar,4,1,1559,1998,2,1992,1993,Builder Floor,0,North,Yes,Semi-Furnished,8,0,Lajpat Nagar Residency,2,No,15915000
Chennai,Anna Nagar,4,4,2891,3079,2,1965,1998,Builder Floor,0,North,Yes,Semi-Furnished,8,0,Anna Nagar Enclave,2,Yes,23593000
Bengaluru,MG Road,4,4,552,8367,1,2018,2020,Apartment,3,East,Yes,Semi-Furnished,10,5,MG Road Enclave,0,Yes,5383000
Mumbai,Andheri,1,4,4700,9235,1,1989,2001,Villa,1,West,Yes,Furnished,2,1,Andheri Enclave,1,Yes,56755000
Delhi,Lajpat Nagar,1,4,4802,5451,2,1958,1989,Builder Floor,1,West,No,Semi-Furnished,2,5,Lajpat Nagar Residency,0,No,48230000
Pune,Kothrud,2,3,4280,8021,2,1989,2025,Apartment,2,East,No,Furnished,0,2,Kothrud Residency,1,No,36700000
Bengaluru,Indiranagar,2,3,4231,8072,2,1995,2013,Independent House,0,South,Yes,Semi-Furnished,2,4,Indiranagar Residency,2,Yes,38414000
Mumbai,Andheri,5,1,3618,9969,3,1977,1978,Villa,3,South,No,Semi-Furnished,3,4,Andheri Enclave,1,No,43771000
Pune,Aundh,1,4,3280,7443,1,1980,2018,Apartment,1,West,Yes,Furnished,9,4,Aundh Residency,3,No,28215000
Mumbai,Bandra,4,2,814,5195,2,1979,1980,Apartment,2,West,No,Semi-Furnished,0,0,Bandra Enclave,0,No,10068000
Bengaluru,HSR Layout,5,2,3385,8789,2,1996,2013,Builder Floor,2,West,Yes,Unfurnished,6,2,HSR Layout Enclave,3,No,30885000
Pune,Kothrud,5,2,3903,5309,1,1959,2023,Villa,1,South,Yes,Furnished,5,4,Kothrud Heights,1,No,33620500
Bengaluru,Whitefield,4,4,4224,6000,3,1970,2010,Independent House,0,South,Yes,Furnished,9,4,Whitefield Residency,1,Yes,38561000
Pune,Hinjewadi,1,2,2415,3939,3,2001,2019,Builder Floor,2,North,Yes,Semi-Furnished,9,3,Hinjewadi Villa,1,Yes,20787500
Chennai,Perambur,2,2,4484,6700,1,1993,2021,Builder Floor,1,West,No,Furnished,1,0,Perambur Residency,3,Yes,36222000
Pune,Kothrud,2,4,619,9375,3,1965,1969,Independent House,1,North,No,Unfurnished,6,2,Kothrud Heights,3,Yes,5636500
Chennai,Anna Nagar,3,1,3785,4931,2,2011,2017,Builder Floor,2,West,No,Furnished,0,5,Anna Nagar Heights,0,Yes,30625000
Chennai,Velachery,3,4,3267,4190,1,2004,2023,Villa,2,West,No,Unfurnished,4,5,Velachery Villa,1,No,26441000
Pune,Aundh,4,2,3332,7962,3,2011,2018,Villa,2,West,Yes,Unfurnished,1,5,Aundh Residency,3,Yes,28762000
Mumbai,Bandra,5,4,3072,9682,3,1956,1975,Independent House,0,North,Yes,Semi-Furnished,9,3,Bandra Heights,0,No,37319000
Delhi,Saket,1,1,3448,6780,3,2016,2019,Builder Floor,1,West,No,Furnished,3,5,Saket Enclave,1,Yes,34760000
Pune,Aundh,5,2,1688,2328,2,1980,2020,Builder Floor,1,North,No,Semi-Furnished,5,5,Aundh Villa,3,Yes,14793000
Pune,Kothrud,1,1,4802,7182,3,2021,2024,Villa,2,East,Yes,Unfurnished,3,3,Kothrud Villa,0,No,40982000
Delhi,Vasant Kunj,5,1,4876,5518,3,1987,2007,Builder Floor,2,East,No,Semi-Furnished,9,3,Vasant Kunj Residency,2,No,49130000
Chennai,Perambur,1,4,1252,5526,1,1998,2017,Apartment,1,East,No,Semi-Furnished,8,4,Perambur Heights,2,Yes,10286000
Bengaluru,Whitefield,4,3,922,3896,2,1990,2011,Apartment,2,South,Yes,Semi-Furnished,3,1,Whitefield Residency,2,Yes,8733000
Delhi,Rohini,2,3,1577,3374,1,1960,2022,Builder Floor,0,West,No,Unfurnished,5,3,Rohini Enclave,3,Yes,16075000
Pune,Viman Nagar,4,2,1350,2287,3,2004,2018,Builder Floor,2,West,Yes,Semi-Furnished,1,5,Viman Nagar Villa,2,Yes,11900000
Mumbai,Bandra,4,1,2965,5977,3,1983,1993,Villa,1,East,No,Unfurnished,5,2,Bandra Residency,3,No,35915000
Delhi,Vasant Kunj,3,3,3581,5921,2,1973,2008,Apartment,1,North,No,Furnished,8,3,Vasant Kunj Villa,1,Yes,36230000
Delhi,Vasant Kunj,1,2,3753,7895,1,2016,2023,Villa,3,East,No,Unfurnished,9,0,Vasant Kunj Villa,0,Yes,37710000
Mumbai,Bandra,3,4,1088,8508,3,1992,2007,Villa,2,East,No,Furnished,6,0,Bandra Enclave,1,Yes,13526000
Bengaluru,Indiranagar,3,4,3961,4653,2,1986,2014,Apartment,1,East,No,Unfurnished,9,4,Indiranagar Villa,0,Yes,36009000
Delhi,Saket,2,3,2895,8294,2,1984,2021,Independent House,2,West,No,Unfurnished,9,4,Saket Villa,3,Yes,29275000
Delhi,Dwarka,2,2,2361,8504,3,1960,1985,Apartment,3,North,Yes,Furnished,7,4,Dwarka Heights,0,No,23930000
Pune,Kothrud,1,3,1572,3003,3,1999,2007,Apartment,1,East,No,Unfurnished,2,1,Kothrud Residency,0,Yes,13612000
Bengaluru,Indiranagar,4,4,4728,7009,3,2006,2009,Apartment,3,West,No,Semi-Furnished,7,4,Indiranagar Residency,0,No,42932000
Bengaluru,Indiranagar,4,3,1575,6598,1,1950,2015,Apartment,2,East,No,Unfurnished,0,5,Indiranagar Villa,3,No,14530000
Mumbai,Borivali,3,2,359,9390,2,1974,1999,Independent House,3,South,Yes,Unfurnished,10,3,Borivali Villa,1,No,4598000
Mumbai,Borivali,2,3,2632,7994,3,2018,2021,Independent House,1,North,Yes,Furnished,4,0,Borivali Villa,3,No,31979000
Pune,Baner,2,3,458,3000,1,2018,0,Apartment,0,East,No,Furnished,7,5,Baner Heights,1,Yes,4243000
Delhi,Dwarka,4,2,3100,6592,2,2013,2017,Independent House,0,East,Yes,Furnished,0,2,Dwarka Villa,0,No,31400000
Delhi,Rohini,3,4,403,2451,3,1981,2004,Independent House,1,North,Yes,Semi-Furnished,1,4,Rohini Residency,3,No,4430000
Bengaluru,Indiranagar,2,1,4802,9119,1,1982,2011,Villa,1,East,Yes,Unfurnished,3,0,Indiranagar Residency,3,No,43438000
Mumbai,Bandra,3,1,3542,5583,1,1955,2014,Apartment,2,North,Yes,Furnished,7,0,Bandra Enclave,0,Yes,42854000
Bengaluru,Koramangala,5,1,1330,9372,1,1990,2024,Villa,3,South,Yes,Unfurnished,6,2,Koramangala Residency,2,Yes,12375000
Chennai,Anna Nagar,5,3,4746,8810,1,2022,2022,Villa,2,West,No,Unfurnished,8,1,Anna Nagar Heights,1,No,38343000
Bengaluru,Indiranagar,5,3,4019,4074,3,2014,2019,Apartment,0,East,Yes,Semi-Furnished,1,5,Indiranagar Villa,1,No,36611000
Pune,Hinjewadi,5,3,2942,6349,3,1991,1997,Builder Floor,0,North,Yes,Furnished,0,1,Hinjewadi Heights,3,Yes,25602000
Mumbai,Andheri,5,4,4313,8670,3,2025,2025,Builder Floor,2,South,Yes,Furnished,3,5,Andheri Villa,0,No,52286000
Mumbai,Juhu,5,4,3323,9879,3,1957,1990,Builder Floor,0,East,Yes,Furnished,8,0,Juhu Heights,1,No,40421000
Delhi,Rohini,5,2,4969,6484,3,2021,2023,Builder Floor,2,West,No,Furnished,2,1,Rohini Villa,2,Yes,50215000
Pune,Aundh,4,3,2881,7437,2,1997,2009,Independent House,2,South,Yes,Semi-Furnished,8,5,Aundh Enclave,2,No,24873500
Chennai,Anna Nagar,1,1,2630,7560,1,2016,2017,Villa,0,East,Yes,Furnished,5,0,Anna Nagar Enclave,1,Yes,21305000
Mumbai,Borivali,3,2,1433,5824,2,2024,0,Apartment,2,East,Yes,Unfurnished,6,4,Borivali Residency,0,No,17471000
Chennai,Velachery,4,1,2760,3116,3,2023,2025,Builder Floor,0,East,No,Semi-Furnished,6,0,Velachery Residency,0,No,22370000
Mumbai,Juhu,5,1,2915,7388,3,1969,1988,Apartment,1,North,No,Semi-Furnished,9,4,Juhu Heights,1,No,35335000
Bengaluru,MG Road,2,2,3053,3779,2,2023,0,Independent House,2,North,No,Unfurnished,6,5,MG Road Residency,1,No,27692000
Pune,Hinjewadi,4,4,4980,6636,3,2017,2019,Apartment,0,East,No,Semi-Furnished,10,4,Hinjewadi Heights,0,No,42710000
Chennai,Adyar,3,2,2927,5799,3,1953,1991,Apartment,2,West,Yes,Semi-Furnished,0,1,Adyar Residency,2,Yes,23791000
Mumbai,Andheri,1,2,1509,6272,1,1993,1999,Villa,3,West,Yes,Semi-Furnished,3,5,Andheri Residency,1,No,18278000
Pune,Baner,5,2,450,6670,3,2017,0,Villa,1,North,No,Furnished,9,2,Baner Heights,3,Yes,4365000
Mumbai,Borivali,3,3,1183,1545,2,1999,2005,Independent House,0,East,No,Unfurnished,8,0,Borivali Residency,1,No,14491000
Pune,Kothrud,1,2,4636,7183,2,2012,2017,Apartment,0,East,No,Semi-Furnished,10,2,Kothrud Residency,2,Yes,39636000
Bengaluru,MG Road,1,3,2147,3439,2,2000,2020,Apartment,0,West,Yes,Semi-Furnished,3,4,MG Road Residency,3,No,19573000
Pune,Viman Nagar,4,2,1993,7388,1,2024,2025,Apartment,1,East,Yes,Semi-Furnished,2,5,Viman Nagar Residency,2,Yes,17325500
Pune,Aundh,1,2,2901,9828,1,1953,1992,Independent House,3,East,No,Unfurnished,10,5,Aundh Enclave,1,Yes,24853500
Mumbai,Bandra,2,1,2486,7497,3,1979,2016,Apartment,1,North,No,Furnished,7,1,Bandra Villa,2,Yes,30177000
Chennai,Anna Nagar,4,2,1641,4857,1,1954,2005,Builder Floor,2,West,Yes,Unfurnished,10,1,Anna Nagar Residency,0,Yes,13483000
Chennai,Perambur,4,3,4048,6119,2,2001,2024,Builder Floor,3,East,No,Unfurnished,9,4,Perambur Heights,0,No,32714000
Chennai,T Nagar,2,4,621,9808,2,2016,2025,Builder Floor,1,East,No,Semi-Furnished,4,2,T Nagar Villa,1,No,5243000
Bengaluru,HSR Layout,1,2,4097,9439,2,1961,2024,Builder Floor,1,South,No,Semi-Furnished,5,3,HSR Layout Heights,1,No,37038000
Pune,Hinjewadi,4,1,2348,5052,3,1970,2014,Builder Floor,0,North,No,Unfurnished,5,0,Hinjewadi Villa,1,No,20263000
Pune,Baner,1,2,3045,7727,3,1969,1978,Apartment,1,North,No,Semi-Furnished,4,5,Baner Villa,2,Yes,26132500
Mumbai,Bandra,2,1,2373,2523,2,2013,2025,Independent House,0,West,Yes,Furnished,9,5,Bandra Villa,3,No,28791000
Chennai,T Nagar,5,1,2304,9580,3,1985,2023,Apartment,0,South,Yes,Furnished,10,2,T Nagar Heights,1,Yes,18937000
Pune,Aundh,3,3,1018,1871,1,2003,2007,Apartment,2,South,No,Unfurnished,9,2,Aundh Heights,0,No,8913000
Bengaluru,Indiranagar,4,1,3800,8359,1,1987,2016,Apartment,0,East,No,Unfurnished,6,4,Indiranagar Residency,1,Yes,34515000
Mumbai,Powai,5,1,4262,9953,3,1986,2012,Villa,2,East,Yes,Unfurnished,9,3,Powai Villa,3,Yes,51604000
Pune,Hinjewadi,3,2,312,2298,1,2009,2011,Apartment,3,West,Yes,Semi-Furnished,5,4,Hinjewadi Residency,0,Yes,2957000
Bengaluru,Indiranagar,1,3,2759,6959,3,1991,0,Builder Floor,2,East,No,Unfurnished,9,4,Indiranagar Heights,1,Yes,25096000
Bengaluru,Indiranagar,4,4,591,2865,2,1969,2008,Independent House,2,West,No,Unfurnished,0,4,Indiranagar Enclave,2,Yes,5759000
Delhi,Lajpat Nagar,3,3,842,3338,2,1953,1995,Independent House,1,West,Yes,Unfurnished,1,2,Lajpat Nagar Enclave,0,No,8725000
Chennai,T Nagar,4,2,3344,7096,2,1977,2009,Villa,1,North,No,Furnished,3,0,T Nagar Villa,0,No,27127000
Pune,Hinjewadi,2,3,4260,8599,2,1991,1999,Builder Floor,1,South,Yes,Semi-Furnished,6,5,Hinjewadi Heights,0,No,36465000
Mumbai,Powai,1,3,4124,4551,1,2016,2025,Villa,0,East,Yes,Semi-Furnished,3,1,Powai Enclave,2,No,49703000
Chennai,T Nagar,3,2,1590,6123,1,1951,2021,Builder Floor,1,East,No,Semi-Furnished,2,5,T Nagar Enclave,1,Yes,13015000
Mumbai,Juhu,5,3,4728,8412,1,1966,1966,Independent House,0,North,No,Furnished,1,3,Juhu Villa,1,No,57186000
Pune,Viman Nagar,3,3,1923,7813,3,2018,2018,Independent House,1,North,No,Furnished,7,2,Viman Nagar Villa,3,Yes,16815500
Delhi,Rohini,5,3,3277,6538,1,1992,2011,Independent House,3,North,Yes,Semi-Furnished,1,2,Rohini Villa,3,Yes,33250000
Bengaluru,Indiranagar,5,2,4461,5354,2,1963,2003,Builder Floor,2,West,No,Unfurnished,6,1,Indiranagar Residency,1,No,40514000
Chennai,T Nagar,3,2,3831,7447,3,1993,2007,Apartment,0,West,Yes,Unfurnished,9,3,T Nagar Enclave,0,No,30943000
Delhi,Saket,4,1,1190,7448,2,2013,2022,Builder Floor,0,South,Yes,Unfurnished,10,0,Saket Residency,1,No,12210000
Pune,Viman Nagar,4,4,1902,3636,3,1990,2008,Villa,3,East,Yes,Unfurnished,0,4,Viman Nagar Villa,1,No,16587000
Mumbai,Juhu,5,1,306,9531,2,1964,2018,Villa,0,South,No,Unfurnished,9,3,Juhu Enclave,3,No,4037000
Chennai,Anna Nagar,5,2,1720,9550,1,1974,2008,Independent House,2,West,Yes,Semi-Furnished,10,1,Anna Nagar Residency,0,Yes,14165000
Mumbai,Bandra,4,4,1412,2849,1,2003,2016,Independent House,1,West,No,Unfurnished,7,3,Bandra Enclave,1,Yes,17349000
Chennai,Perambur,1,4,2239,8122,3,1984,2009,Villa,0,North,No,Unfurnished,5,0,Perambur Villa,0,Yes,18192000
Pune,Viman Nagar,4,1,4587,9634,1,1981,2010,Builder Floor,2,North,No,Unfurnished,0,3,Viman Nagar Villa,3,No,39284500
Chennai,Adyar,3,3,1672,2300,3,1988,2023,Villa,0,West,Yes,Unfurnished,0,5,Adyar Enclave,0,No,13701000
Chennai,T Nagar,2,1,2576,4690,1,1985,2001,Villa,0,North,Yes,Unfurnished,2,5,T Nagar Villa,2,Yes,20863000
Bengaluru,Koramangala,4,2,4620,4941,2,1960,1977,Apartment,3,West,No,Furnished,10,3,Koramangala Residency,1,No,41970000
Mumbai,Juhu,1,1,1672,9324,2,2010,2018,Independent House,1,West,No,Semi-Furnished,4,1,Juhu Villa,0,No,20184000
Chennai,Anna Nagar,3,1,1097,9851,3,1995,2021,Villa,2,East,No,Furnished,4,5,Anna Nagar Villa,3,Yes,9186000
Pune,Hinjewadi,5,3,1773,4389,3,1951,1951,Builder Floor,0,West,Yes,Unfurnished,1,5,Hinjewadi Villa,2,Yes,15575500
Bengaluru,Indiranagar,2,1,494,2050,1,1977,2014,Builder Floor,0,North,Yes,Semi-Furnished,10,5,Indiranagar Residency,0,Yes,4671000
Bengaluru,Indiranagar,4,1,4014,6328,2,1991,2006,Apartment,0,East,Yes,Semi-Furnished,6,2,Indiranagar Heights,2,No,36451000
Delhi,Vasant Kunj,1,4,1943,6992,2,1972,2012,Independent House,0,South,No,Furnished,9,5,Vasant Kunj Heights,3,No,19760000
Mumbai,Andheri,1,1,4980,7082,2,1952,2014,Apartment,0,North,No,Semi-Furnished,2,5,Andheri Enclave,3,Yes,59975000
Pune,Baner,4,4,3608,9619,1,2019,2021,Builder Floor,3,West,Yes,Unfurnished,8,2,Baner Enclave,2,No,31063000
Mumbai,Andheri,3,3,959,8539,2,1975,1985,Builder Floor,3,South,No,Unfurnished,6,0,Andheri Enclave,3,Yes,11883000
Chennai,Velachery,2,1,1881,2138,3,2025,0,Independent House,3,North,No,Semi-Furnished,8,3,Velachery Heights,0,No,15238000
Mumbai,Juhu,1,4,1268,4786,3,2016,2022,Apartment,1,North,Yes,Unfurnished,2,3,Juhu Heights,3,Yes,15566000
Delhi,Rohini,1,2,709,5794,1,2008,2012,Builder Floor,0,North,No,Unfurnished,9,1,Rohini Heights,1,No,7235000
Bengaluru,MG Road,3,1,4771,5946,2,1977,2024,Builder Floor,1,East,Yes,Furnished,4,1,MG Road Villa,1,No,43274000
Pune,Hinjewadi,4,2,633,2868,1,1998,2021,Apartment,0,West,Yes,Furnished,0,1,Hinjewadi Heights,2,No,5790500
Chennai,Velachery,2,2,2519,6854,2,2002,2008,Apartment,0,South,No,Unfurnished,1,5,Velachery Enclave,2,No,20382000
Mumbai,Powai,2,2,1262,9998,1,1996,2022,Apartment,3,South,No,Furnished,3,0,Powai Residency,3,No,15444000
Delhi,Rohini,1,1,3283,5668,1,2005,2012,Villa,3,North,Yes,Unfurnished,0,4,Rohini Residency,1,Yes,33020000
Chennai,Perambur,1,1,2227,8186,2,2025,2025,Independent House,1,East,Yes,Furnished,5,1,Perambur Heights,1,No,18051000
Delhi,Vasant Kunj,2,1,4158,9001,2,1956,2010,Apartment,1,West,Yes,Semi-Furnished,5,1,Vasant Kunj Villa,1,No,41790000
Bengaluru,Koramangala,3,2,562,9929,1,1985,1992,Builder Floor,3,West,No,Furnished,5,1,Koramangala Enclave,1,Yes,5428000
Pune,Aundh,2,1,3672,7996,2,1977,2013,Independent House,3,East,Yes,Unfurnished,6,5,Aundh Residency,1,No,31422000
Chennai,Perambur,2,2,4999,5090,2,1955,1959,Independent House,0,West,No,Semi-Furnished,1,3,Perambur Villa,1,Yes,40257000
Pune,Kothrud,4,2,1387,7309,2,1980,2020,Builder Floor,0,West,No,Furnished,7,4,Kothrud Heights,3,No,12209500
Delhi,Vasant Kunj,2,3,4103,9919,3,1950,1958,Independent House,2,North,No,Semi-Furnished,4,5,Vasant Kunj Residency,0,No,41280000
Mumbai,Powai,3,1,1209,7533,2,2009,2009,Villa,2,South,Yes,Unfurnished,3,1,Powai Enclave,1,Yes,14818000
Chennai,Perambur,2,2,2925,5864,2,2014,2023,Independent House,2,North,Yes,Semi-Furnished,5,3,Perambur Villa,0,No,23625000
Pune,Aundh,3,4,3315,9917,3,1958,1981,Independent House,0,North,No,Furnished,4,0,Aundh Heights,1,No,28597500
Mumbai,Bandra,4,2,1973,6288,3,1952,1988,Independent House,1,West,No,Semi-Furnished,7,5,Bandra Heights,2,Yes,24076000
Mumbai,Andheri,2,3,3672,8462,2,1991,2021,Independent House,3,East,Yes,Semi-Furnished,2,2,Andheri Residency,3,No,44364000
Bengaluru,Whitefield,2,3,2629,6413,1,1970,2014,Villa,1,South,Yes,Furnished,3,0,Whitefield Heights,2,Yes,24051000
Chennai,Adyar,3,2,1980,6637,3,1954,1993,Villa,1,East,No,Unfurnished,2,4,Adyar Enclave,0,Yes,16160000
Chennai,Anna Nagar,2,4,2923,4251,1,2019,2023,Villa,3,East,Yes,Unfurnished,7,2,Anna Nagar Heights,3,Yes,23744000
Delhi,Lajpat Nagar,1,3,503,7133,3,1978,2005,Villa,0,East,Yes,Unfurnished,10,1,Lajpat Nagar Residency,2,Yes,5335000
Mumbai,Andheri,5,4,1015,9450,2,1974,2004,Villa,0,East,No,Furnished,6,2,Andheri Villa,2,Yes,12745000
Bengaluru,Indiranagar,3,3,3950,8595,1,1977,2022,Independent House,3,West,No,Furnished,6,5,Indiranagar Villa,1,Yes,35950000
Delhi,Rohini,3,4,4603,7400,1,2025,2025,Builder Floor,0,West,No,Semi-Furnished,2,4,Rohini Villa,1,Yes,46385000
Delhi,Vasant Kunj,3,4,645,5642,3,1988,2018,Independent House,1,North,Yes,Furnished,4,2,Vasant Kunj Villa,0,No,6880000
Chennai,Velachery,4,2,533,2538,2,2013,2013,Villa,3,West,No,Unfurnished,10,3,Velachery Heights,2,Yes,4644000
Bengaluru,Koramangala,5,1,1497,6784,2,1967,1988,Apartment,0,East,No,Semi-Furnished,10,2,Koramangala Heights,2,No,13823000
Pune,Kothrud,5,2,1801,8115,1,1971,2004,Villa,2,East,No,Unfurnished,5,0,Kothrud Enclave,1,Yes,15703500
Delhi,Lajpat Nagar,3,3,4272,7697,2,1970,1975,Apartment,1,South,Yes,Unfurnished,9,5,Lajpat Nagar Heights,3,No,43070000
Mumbai,Andheri,2,1,4228,7130,2,1996,1999,Independent House,2,South,No,Furnished,1,1,Andheri Residency,1,Yes,51046000
Bengaluru,Koramangala,2,2,943,7953,3,1964,1967,Builder Floor,3,West,Yes,Furnished,1,0,Koramangala Heights,3,Yes,8902000
Bengaluru,Whitefield,1,3,384,2015,1,1976,2012,Apartment,1,East,Yes,Furnished,2,5,Whitefield Enclave,2,No,3746000
Delhi,Lajpat Nagar,5,2,4436,9157,1,1962,1962,Apartment,1,East,Yes,Unfurnished,0,5,Lajpat Nagar Heights,1,No,44730000
Bengaluru,HSR Layout,2,4,1179,4192,2,1998,2010,Apartment,1,West,Yes,Semi-Furnished,1,3,HSR Layout Heights,1,No,10911000
Bengaluru,Indiranagar,5,1,973,6398,2,1964,1987,Villa,3,East,No,Furnished,8,3,Indiranagar Enclave,3,Yes,9247000
Mumbai,Borivali,3,2,404,8509,3,1963,2012,Independent House,0,North,Yes,Semi-Furnished,6,5,Borivali Heights,1,Yes,5208000
Bengaluru,Koramangala,3,2,3611,4666,1,2004,2018,Villa,2,West,No,Semi-Furnished,10,4,Koramangala Villa,3,No,32774000
Delhi,Vasant Kunj,1,1,2353,6411,2,1979,2018,Apartment,0,North,Yes,Furnished,7,5,Vasant Kunj Heights,1,No,23765000
Pune,Viman Nagar,2,3,1089,2392,3,2016,2022,Independent House,1,East,No,Semi-Furnished,8,2,Viman Nagar Enclave,0,Yes,9556500
Chennai,T Nagar,4,4,2876,9912,2,2006,2019,Builder Floor,0,South,No,Unfurnished,2,3,T Nagar Villa,1,No,23383000
Chennai,Anna Nagar,1,4,4836,9304,3,2010,2024,Apartment,0,West,No,Semi-Furnished,9,3,Anna Nagar Enclave,2,No,38948000
Mumbai,Andheri,5,1,1350,7403,2,2024,0,Villa,3,North,No,Semi-Furnished,5,3,Andheri Enclave,0,Yes,16570000
Delhi,Rohini,3,1,836,5881,1,1993,2002,Builder Floor,2,North,No,Unfurnished,6,4,Rohini Villa,2,Yes,8640000
Chennai,Perambur,1,3,3394,8116,2,1991,1996,Independent House,0,South,No,Semi-Furnished,8,5,Perambur Enclave,1,No,27347000
Bengaluru,MG Road,2,4,917,9746,1,1986,2001,Builder Floor,2,West,Yes,Unfurnished,1,5,MG Road Heights,2,No,8548000
Mumbai,Powai,5,4,3798,5566,2,1959,1996,Villa,3,East,Yes,Semi-Furnished,6,2,Powai Villa,1,Yes,46076000
Pune,Hinjewadi,5,4,2044,7507,3,2009,2016,Independent House,0,South,No,Semi-Furnished,2,1,Hinjewadi Residency,2,No,17834000
Chennai,Adyar,1,2,3678,5914,2,1970,1985,Apartment,3,South,Yes,Furnished,3,0,Adyar Residency,2,No,29704000
Chennai,Perambur,4,4,603,3962,1,1984,1991,Builder Floor,2,East,Yes,Unfurnished,0,5,Perambur Villa,0,Yes,5239000
Mumbai,Juhu,5,3,820,7538,2,1961,2010,Apartment,1,North,Yes,Unfurnished,10,4,Juhu Enclave,3,Yes,10340000
Delhi,Lajpat Nagar,1,3,2997,9865,3,1999,2023,Apartment,3,South,Yes,Furnished,2,1,Lajpat Nagar Enclave,3,No,30315000
